"Title","Certificate","Genre","Rating","Running Time","Directors","Writers","Stars Cast","Country","Language","Budget","Gross","Release Date","Production Company"
"Ordinary People","R","Drama","9","124 min.","Robert Redford","NULL","Donald Sutherland|Mary Tyler Moore|Judd Hirsch|Timothy Hutton","USA","NULL","NULL","NULL","NULL","Paramount|Wildwood"
"Ballast","NR","Drama","9","96 min.","Lance Hammer","NULL","Tarra Riggs|Johnny McPhail","USA","NULL","NULL","NULL","Sep 4, 2008 (USA - Limited)","Alluvial Film Company"
"Giant","G","Drama","9","210 min.","George Stevens","NULL","Elizabeth Taylor|Rock Hudson|James Dean|Carroll Baker","USA","NULL","NULL","NULL","Oct 10, 1956 (USA - Unknown)","Warner Brothers"
"Johnny Belinda","NR","Drama","9","105 min.","Jean Negulesco","NULL","Jane Wyman|Lew Ayres|Charles Bickford|Agnes Moorehead","USA","NULL","NULL","NULL","Sep 14, 1948 (USA - Unknown)","Warner Brothers"
"The Life of Emile Zola","NR","Drama","9","117 min.","William Dieterle|Irving Rapper","NULL","Paul Muni|Gloria Holden|Gale Sondergaard|Joseph Schildkraut","USA","NULL","NULL","NULL","Aug 11, 1937 (USA - Unknown)","Franco London Films|Warner Brothers"
"Mona Lisa","R","Drama","9","104 min.","Neil Jordan","NULL","Bob Hoskins|Cathy Tyson|Michael Caine|Robbie Coltrane","Ireland|UK","NULL","NULL","NULL","Jun 13, 1986 (USA)","Handmade Films|Island Pictures|Palace Films"
"A Place in the Sun","NULL","Drama","9","120 min.","George Stevens","NULL","Montgomery Clift|Elizabeth Taylor|Shelley Winters|Anne Revere","USA","NULL","NULL","NULL","NULL","Paramount"
"All That Jazz","R","Drama|Musical","9","123 min.","Bob Fosse","NULL","Roy Scheider|Jessica Lange|Ann Reinking|Cliff Gorman","USA","NULL","NULL","NULL","NULL","20th Century Fox|Columbia Pictures"
"Secrets and Lies","R","Drama","9","142 min.","Mike Leigh","NULL","Brenda Blethyn|Marianne Jean-Baptiste|Phyllis Logan|Timothy Spall","France|UK","NULL","NULL","NULL","Sep 28, 1996 (USA - Limited)","Channel 4|CiBy 2000|Film Four Distributors|Thin Man Films"
"Hell or High Water","R","Action|Crime|Drama","9","102 min.","David Mackenzie","NULL","Dale Dickey|Ben Foster|Chris Pine|William Sterchi","USA","NULL","NULL","NULL","Aug 12, 2016 (USA - Limited), Aug 19, 2016 (USA - Expanding)","Film 44|Sidney Kimmel Entertainment"
"The Grapes of Wrath","NULL","Drama","10","129 min.","John Ford","NULL","Henry Fonda|Jane Darwell|John Carradine|Charles Grapewin","USA","NULL","NULL","NULL","NULL","20th Century Fox"
"A Star Is Born","PG","Drama","10","111 min.","Jack Conway|William Wellman","NULL","Janet Gaynor|Fredric March|Adolphe Menjou|May Robson","USA","NULL","NULL","NULL","Apr 20, 1937 (USA - Unknown)","Selznick International|United Artists"
"For Whom the Bell Tolls","NULL","Drama|Romance","9","168 min.","Sam Wood","NULL","Gary Cooper|Ingrid Bergman|Akim Tamiroff|Katina Paxinou","USA","NULL","NULL","NULL","NULL","Paramount|Sam Wood Productions"
"Trumbo","R","Drama","9","124 min.","Jay Roach","NULL","Bryan Cranston|Elle Fanning|Diane Lane|Helen Mirren","USA","NULL","NULL","NULL","Nov 6, 2015 (USA - Limited)","Groundswell Productions|ShivHans Pictures"
"Short Cuts","R","Drama","10","187 min.","Robert Altman","NULL","Andie MacDowell|Tim Robbins|Chris Penn|Julianne Moore","USA","NULL","NULL","NULL","Oct 1, 1993 (USA)","Fine Line Features|New Line Cinema"
"8 1/2","NULL","Comedy Drama|Drama","10","135 min.","Federico Fellini","NULL","Marcello Mastroianni|Claudia Cardinale|Sandra Milo|Rossella Falk","France|Italy","NULL","NULL","NULL","NULL","N|U|L|L"
