Title,Certificate,Genre,Rating,Running Time,Directors,Writers,Stars Cast,Country,Language,Budget,Gross,Release Date,Production Company
The Unbearable Lightness of Being,R,Drama,9,172 min.,Philip Kaufman,NULL,Daniel Day-Lewis|Juliette Binoche|Lena Olin|Derek DeLint,USA,NULL,NULL,NULL,"Feb 5, 1988 (USA)",Orion|Saul Zaentz Co.
The Unfaithful Wife,NULL,Drama,8,98 min.,Claude Chabrol,NULL,Michel Bouquet|Maurice Ronet|Michel Duchaussoy|Guy Marly,France|Italy,NULL,NULL,NULL,NULL,Films la BoÃƒÂ©tie|Franco London Films|Union Generale Cinematographique
The Unholy Three,NULL,Crime,8,70 min.,Tod Browning,NULL,Lon Chaney|Mae Busch|Matt Moore|Victor McLaglen,NULL,NULL,NULL,NULL,"Aug 16, 1925 (USA - Unknown)",MGM
The Untamed Breed,NULL,Action|Drama|Western,8,79 min.,Charles Lamont,NULL,"Sonny Tufts|Barbara Britton|George ""Gabby"" Hayes|Edgar Buchanan",USA,NULL,NULL,NULL,"May 31, 1948 (USA - Unknown)",Columbia Pictures
The Untouchables,R,Crime,9,119 min.,Brian De Palma,NULL,Kevin Costner|Sean Connery|Charles Martin Smith|Andy Garcia,USA,NULL,NULL,NULL,"Jun 3, 1987 (USA)",Paramount
The Uprising,NULL,Drama,8,96 min.,Peter Lilienthal,NULL,Oscar Castillo,West Germany,NULL,NULL,NULL,NULL,Istmo Film|Provobis Gesellschaft fÃƒÂ_r Film und Fernsehen|Von Vietinghoff Filmproduktion|Zweites Deutsches Fernsehen
The Usual Suspects,R,Crime|Thriller,9,106 min.,Bryan Singer,NULL,Gabriel Byrne|Stephen Baldwin|Chazz Palminteri|Kevin Pollak,USA,NULL,NULL,NULL,NULL,NULL
The Valiant,NULL,Drama,8,66 min.,William Howard,NULL,Paul Muni|Marguerite Churchill|DeWitt Jennings|Henry Kolker,USA,NULL,NULL,NULL,NULL,NULL
The Valley of Decision,NR,Drama|Romance,8,111 min.,Tay Garnett,NULL,Greer Garson|Gregory Peck|Donald Crisp|Lionel Barrymore,USA,NULL,NULL,NULL,"May 3, 1945 (USA - Unknown)",MGM
The Vanishing,NR,Thriller,10,106 min.,George Sluizer,NULL,Bernard-Pierre Donnadieu|Gene Bervoets|Johanna ter Steege|Gwen Eckhaus,France|Netherlands,NULL,NULL,NULL,"Oct 27, 1988 (USA - Unknown)",Golden Egg Films
